pair,row_id,src_lemma,tgt_lemma,y_src_log1p,y_tgt_log1p,y_asym,meaning_conflicts,grammatical_conflicts,top_shap_features,top_shap_values
EN<->PT,21,dance,dança,9.718273900864553,3.6264969404543557,6.091776960410197,False,gender_number_forms,"['num__src_session_count', 'cat__semantic_field_feeling', 'cat__semantic_field_change']","[1.6354377269744873, 1.418128252029419, 1.0207616090774536]"
EN<->PT,218,grandfather,avô,10.210645146217203,4.283272495940194,5.927372650277009,True,gender_number_forms,"['num__src_session_count', 'cat__semantic_field_feeling', 'num__diff_len']","[2.0186843872070312, 1.419838547706604, 1.3715980052947998]"
EN<->PT,57,paint,pintura,8.844523236694423,2.9761086927450324,5.86841454394939,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_body', 'cat__semantic_field_change']","[1.3371696472167969, -1.126186490058899, 0.8911023736000061]"
EN<->PT,66,street,rua,9.127893812698431,3.4469317352135866,5.680962077484844,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'cat__semantic_field_object']","[1.2899765968322754, -0.9592394828796387, 0.6711009740829468]"
EN<->PT,148,large,grande,9.366603303713587,3.88303203036663,5.483571273346957,True,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_state', 'num__src_session_count']","[1.369632363319397, -0.7155137062072754, -0.712464451789856]"
EN<->PT,64,nation,país,9.488735881219803,4.247784341276416,5.240951539943387,True,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'cat__semantic_field_location']","[1.3417378664016724, -1.1831564903259277, 0.7997013926506042]"
EN<->PT,151,department,seção,9.568417318449901,4.617856388641544,4.950560929808358,True,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'cat__semantic_field_state']","[1.2799328565597534, -0.9889421463012695, -0.8883395791053772]"
EN<->PT,28,transportation,trânsito,4.6397927476735745,0.0010368662683349127,4.638755881405239,True,gender_number_forms,"['cat__semantic_field_feeling', 'num__diff_len', 'cat__semantic_field_body']","[1.3525030612945557, 1.0537269115447998, -0.9099087715148926]"
EN<->PT,187,absence,ausência,10.17993373474851,5.651586807691549,4.52834692705696,False,no_conflicts,"['num__src_session_count', 'cat__semantic_field_feeling', 'cat__semantic_field_change']","[1.9546211957931519, 1.6178597211837769, 0.954359233379364]"
EN<->PT,100,south,sul,8.935228803963668,4.5699950746346225,4.365233729329045,False,no_conflicts,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'num__src_session_count']","[1.3544670343399048, -1.0728960037231445, -0.8889790177345276]"
EN<->PT,155,lip,lábio,4.418674690418613,11.848091988407763,-7.42941729798915,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_body', 'cat__semantic_field_change']","[1.2758848667144775, -1.1605570316314697, 1.082414150238037]"
EN<->PT,31,advantage,vantagem,3.9730678683426848,9.559811747217255,-5.58674387887457,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_change', 'cat__semantic_field_body']","[1.4312762022018433, 0.927143931388855, -0.8569819927215576]"
EN<->PT,30,attorney,advogado,3.9131295929342866,9.235670653840963,-5.322541060906676,True,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'cat__semantic_field_location']","[1.3772962093353271, -1.3606743812561035, 0.7921813726425171]"
EN<->PT,45,revolution,revolução,3.945455847276536,9.08823354908447,-5.142777701807933,False,no_conflicts,"['cat__semantic_field_feeling', 'cat__semantic_field_body', 'num__tgt_session_count']","[1.3737797737121582, -0.7795199751853943, -0.7145825028419495]"
EN<->PT,88,difference,diferença,3.304406706465168,8.419286309764717,-5.114879603299549,False,no_conflicts,"['cat__semantic_field_feeling', 'cat__semantic_field_attribute', 'cat__semantic_field_object']","[1.3807446956634521, -0.9761807918548584, 0.7918360829353333]"
EN<->PT,52,prince,príncipe,4.067974919201958,8.960705781976618,-4.89273086277466,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'num__tgt_session_count']","[1.4289666414260864, -1.1230207681655884, -0.6839141845703125]"
EN<->PT,178,will,vontade,4.701398489642242,9.515762079204562,-4.81436358956232,False,no_conflicts,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'cat__semantic_field_change']","[1.3257120847702026, -0.9796581268310547, 0.6156115531921387]"
EN<->PT,109,bear,urso,3.6945692365582725,8.38037173638249,-4.6858024998242165,False,no_conflicts,"['cat__semantic_field_feeling', 'num__tgt_session_count', 'num__diff_sessions']","[1.335665225982666, 0.8420039415359497, -0.6018133759498596]"
EN<->PT,169,august,agosto,5.063313382547094,9.477926378249458,-4.414612995702364,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'num__tgt_session_count']","[1.329120397567749, -0.7280235886573792, -0.662085771560669]"
EN<->PT,1,uncle,tio,4.064537032383745,8.387201030959655,-4.32266399857591,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'cat__semantic_field_body']","[1.3830808401107788, -0.745071530342102, -0.7000861763954163]"
EN<->PT,26,king,rei,4.548154020853845,8.83669183097321,-4.288537810119365,True,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_object', 'num__concreteness']","[1.2665857076644897, 0.7185019254684448, 0.5345104932785034]"
EN<->PT,82,enter,entrar,5.469460257560934,9.47483324541568,-4.005372987854745,False,verb_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_quantity', 'cat__semantic_field_body']","[1.3286011219024658, -0.9146089553833008, -0.8320291638374329]"
EN<->PT,5,do,fazer,4.768326847091831,8.770017076601404,-4.001690229509572,True,verb_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_object', 'num__diff_sessions']","[1.2354642152786255, 0.9087538123130798, -0.7169807553291321]"
EN<->PT,141,plane,avião,4.356869070260162,8.253716711444044,-3.896847641183882,True,gender_number_forms,"['cat__semantic_field_person', 'cat__semantic_field_feeling', 'cat__semantic_field_body']","[-1.4046127796173096, 1.3557053804397583, -0.7528648376464844]"
EN<->PT,70,place,lugar,8.3692352194642,12.251035853377529,-3.881800633913329,True,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'num__tgt_session_count']","[1.2845380306243896, -1.2154080867767334, 0.6411167979240417]"
EN<->PT,71,cover,capa,5.049355112591981,8.825703882900804,-3.7763487703088225,True,verb_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_state', 'num__src_session_count']","[1.3684695959091187, -1.268128514289856, -0.8966353535652161]"
EN<->PT,85,thousand,mil,4.718017773443222,8.488803480983496,-3.7707857075402735,False,no_conflicts,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'cat__semantic_field_body']","[1.3463228940963745, -1.0258922576904297, -0.886584997177124]"
EN<->PT,160,send,enviar,5.736613006327995,9.487192659259875,-3.7505796529318802,True,verb_forms,"['cat__semantic_field_feeling', 'num__src_session_count', 'cat__semantic_field_person']","[1.368019938468933, -1.0769234895706177, -1.0580534934997559]"
EN<->PT,195,enemy,inimigo,4.600276531569522,8.285649877330021,-3.6853733457604996,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_person', 'cat__semantic_field_body']","[1.3523480892181396, -0.9878129959106445, -0.9403994679450989]"
EN<->PT,92,bridge,ponte,4.981131780992905,8.495490871958,-3.514359090965094,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_body', 'cat__semantic_field_person']","[1.3307441473007202, -1.254345417022705, -0.9711474776268005]"
